Path (tasks.mechanic.dev),Description
/delete-all-products,"Use this task to quickly (and permanently) clear out your product list. Optionally, filter by a specific query, so as to only delete specific products from your store. Supports a test mode, allowing you to see exactly what products you can expect Mechanic to delete."
/move-out-of-stock-products-to-the-end-of-a-collection,"This task re-sorts your collections, beginning with the sort order of your choice (alphabetically, best selling first, etc), and then moving all out-of-stock products to the very end of the collection."
/auto-fulfill-items-that-dont-require-shipping,"Useful for digital products, memberships, or anything else that needs to be fulfilled instantly. This task watches for paid orders, and auto-fulfills all line items that don't require shipping."
/cancel-and-close-unpaid-orders-after-two-days,"This task scans for orders that are more than X days or hours old that have a financial status of ""pending"", and ensures that they are all closed/archived and cancelled. Pending orders that are already closed will be cancelled, and pending orders that are already cancelled will be closed. Optionally, choose to add a tag to such orders, and whether to restock line items."
/hide-out-of-stock-products,"This task monitors inventory updates, and pulls the product from the configured sales channels whenever a product's total inventory meets your ""out of stock"" threshold. Optionally, it'll send you an email when it does so. You may also choose whether to further refine the products being considered by this task by configuring inclusion or exclusion tags (note: exclusion tags will always take precedence over inclusion tags)."
/auto-tag-customers-upon-product-purchase,"Configure this task with search terms that describe certain products, and this task will apply the tags of your choice to every customer who purchases a matching product or product variant. Run this task manually to tag all customers who have a qualifying order already on file."
/maintain-inventory-for-a-product-bundle,"Use this task to automatically sync inventory for a simple product bundle – no theme modifications required. When configured with unique SKUs for the bundle and its components, and with quantities needed from each component for each bundle unit, this task keeps the bundle inventory set to the greatest possible value, given the quantities of its components. It also appropriately subtracts from component inventory whenever the bundle is ordered, and appropriately raises component inventory when a bundle order is refunded and restocked."
/email-customer-when-order-paid,"Quickly send a thank-you email (or any other sort of follow-up email) to your customers, as soon as their order is paid. (Optionally, require one or more order tags to be present, in order for the email to be sent.) And it's super easy to add a delay – set the task to subscribe ""shopify/orders/paid+2.days"" or ""shopify/orders/paid+1.week"" instead to create a thoughtful just-checking-back-in-with-you message. :)"
/auto-invite-customers-after-an-order,"Automatically prompt customers to activate their customer accounts, after placing an order in your store, by triggering a customizable Shopify-powered email. Useful if your online store unlocks special offers, functionality, or content after making a purchase. Optionally, only send invitations if the customer has ordered a product with a specific tag."
/ask-for-reviews-a-week-after-order-fulfillment,"Follow up with your customers automatically, and establish the purchase -&gt; earn-reviews -&gt; attract-customers cycle. This task comes prefilled with a friendly, customizable email that gives the customer direct links to their purchases on your website, where they can leave a review using your existing review system."
/email-customers-when-tagged,"Automatically send out an email to your customers when a tag is added to their account. Useful for sending approval emails, welcome emails if the customer was created with a certain tag, or any other emails related to an update to the customer's status. The most common use of this task is to send out emails to customers when their accounts are approved, but you can use this task to email customers any kind of alert you like, triggered by a simple tag. For example, some themes include an email subscription form that creates a customer record, pre-tagged with ""email subscribe"", or something to that effect."
/sync-inventory-for-shared-skus,"This task monitors all variants having a SKU that you configure, and ensures that changes to the available inventory quantity are reflected across all variants sharing that SKU."
/mechanic-tour-task,This task is part of the Mechanic tour! Feel free to delete this task once you are done with the tour.
/auto-tag-orders-using-product-tags,"Use this task to tag incoming orders with all the product tags in the order. Optionally, specify a specific list of tags to be copied, and/or a certain tag prefix to watch for. Can be run manually, to scan and tag historical orders."
/tag-products-with-no-images,"Running manually or on a schedule, this task scans all products in your store, and adds a tag to any products that have no images. Optionally, choose to have this task remove that tag from any products that are found to have an image."
